iter	Passed	Remaining
428	1643	2188
429	1647	2183
430	1651	2179
431	1654	2175
432	1657	2170
433	1660	2166
434	1664	2161
435	1667	2156
436	1670	2152
437	1673	2146
438	1676	2142
439	1679	2137
440	1683	2133
441	1686	2129
442	1690	2125
443	1693	2120
444	1696	2115
445	1699	2110
446	1702	2106
447	1705	2101
448	1709	2097
449	1712	2092
450	1715	2088
451	1718	2083
452	1722	2079
453	1725	2074
454	1728	2070
455	1731	2065
456	1735	2061
457	1737	2056
458	1742	2053
459	1745	2048
460	1749	2045
461	1751	2040
462	1755	2035
463	1758	2030
464	1761	2026
465	1764	2021
466	1768	2018
467	1771	2013
468	1775	2009
469	1778	2005
470	1782	2001
471	1785	1996
472	1789	1993
473	1792	1988
474	1795	1984
475	1798	1979
476	1801	1975
477	1804	1970
478	1808	1966
479	1811	1962
480	1814	1958
481	1817	1953
482	1821	1949
483	1824	1944
484	1827	1940
485	1830	1935
486	1833	1931
487	1837	1928
488	1841	1924
489	1844	1919
490	1847	1915
491	1851	1911
492	1855	1907
493	1857	1902
494	1861	1899
495	1864	1894
496	1867	1890
497	1870	1885
498	1873	1881
499	1876	1876
500	1880	1872
501	1883	1868
502	1886	1864
503	1889	1859
504	1892	1855
505	1895	1850
506	1899	1846
507	1901	1841
508	1905	1838
509	1908	1833
510	1912	1829
511	1915	1825
512	1918	1821
513	1921	1816
514	1924	1812
515	1927	1807
516	1930	1803
517	1934	1799
518	1937	1795
519	1940	1791
520	1943	1786
521	1947	1783
522	1950	1778
523	1953	1774
524	1956	1770
525	1959	1766
526	1962	1761
527	1966	1757
528	1969	1753
529	1972	1749
530	1975	1744
531	1979	1740
532	1981	1736
533	1985	1732
534	1988	1728
535	1991	1724
536	1994	1719
537	1998	1716
538	2001	1711
539	2005	1708
540	2007	1703
541	2011	1699
542	2014	1695
543	2018	1691
544	2020	1687
545	2024	1683
546	2027	1679
547	2031	1675
548	2034	1670
549	2037	1667
550	2040	1662
551	2044	1659
552	2047	1655
553	2051	1651
554	2053	1646
555	2058	1643
556	2061	1639
557	2064	1635
558	2067	1631
559	2071	1627
560	2074	1623
561	2077	1619
562	2080	1615
563	2084	1611
564	2087	1607
565	2090	1603
566	2093	1598
567	2097	1595
568	2100	1591
569	2104	1587
570	2107	1583
571	2110	1579
572	2113	1575
573	2117	1571
574	2120	1567
575	2123	1563
576	2126	1559
577	2130	1555
578	2133	1551
579	2137	1547
580	2140	1543
581	2144	1540
582	2147	1536
583	2151	1532
584	2154	1528
585	2158	1524
586	2160	1520
587	2164	1516
588	2167	1512
589	2171	1509
590	2174	1504
591	2177	1500
592	2180	1496
593	2183	1492
594	2187	1488
595	2190	1484
596	2193	1480
597	2197	1477
598	2200	1473
599	2204	1469
600	2208	1466
601	2212	1462
602	2216	1458
603	2219	1454
604	2222	1451
605	2226	1447
606	2229	1443
607	2232	1439
608	2236	1435
609	2239	1431
610	2243	1428
611	2246	1424
612	2250	1420
613	2253	1416
614	2256	1412
615	2259	1408
616	2263	1405
617	2266	1401
618	2270	1397
619	2273	1393
620	2277	1390
621	2280	1386
622	2284	1382
623	2288	1378
624	2291	1374
625	2294	1370
626	2297	1366
627	2300	1362
628	2303	1358
629	2306	1354
630	2309	1350
631	2312	1346
632	2316	1343
633	2319	1339
634	2323	1335
635	2326	1331
636	2330	1327
637	2332	1323
638	2336	1320
639	2339	1315
640	2343	1312
641	2346	1308
642	2349	1304
643	2352	1300
644	2356	1296
645	2359	1292
646	2363	1289
647	2365	1285
648	2369	1281
649	2372	1277
650	2376	1273
651	2378	1269
652	2382	1266
653	2385	1262
654	2389	1258
655	2392	1254
656	2396	1250
657	2399	1247
658	2402	1243
659	2406	1239
660	2409	1235
661	2412	1231
662	2416	1228
663	2419	1224
664	2423	1220
665	2426	1216
666	2430	1213
667	2434	1209
668	2437	1205
669	2441	1202
670	2443	1198
671	2447	1194
672	2450	1190
673	2454	1186
674	2457	1183
675	2460	1179
676	2463	1175
677	2467	1171
678	2470	1167
679	2473	1164
680	2476	1160
681	2480	1156
682	2483	1152
683	2487	1149
684	2490	1145
685	2495	1142
686	2498	1138
687	2502	1134
688	2506	1131
689	2509	1127
690	2513	1123
691	2516	1119
692	2519	1116
693	2522	1112
694	2526	1108
695	2529	1104
696	2533	1101
697	2536	1097
698	2540	1093
699	2543	1090
700	2547	1086
701	2550	1082
702	2554	1079
703	2557	1075
704	2560	1071
705	2563	1067
706	2567	1064
707	2570	1060
708	2576	1057
709	2581	1054
710	2586	1051
711	2590	1047
712	2595	1044
713	2602	1042
714	2606	1039
715	2610	1035
716	2616	1032
717	2622	1030
718	2628	1027
719	2633	1024
720	2637	1020
721	2643	1017
722	2648	1014
723	2652	1011
724	2657	1007
725	2662	1005
726	2668	1002
727	2672	998
728	2676	994
729	2680	991
730	2683	987
731	2686	983
732	2689	979
733	2692	975
734	2695	971
735	2698	967
736	2701	964
737	2704	960
738	2708	956
739	2712	952
740	2715	949
741	2718	945
742	2722	941
743	2727	938
744	2731	934
745	2736	931
746	2743	929
747	2747	925
748	2750	921
749	2754	918
750	2756	914
751	2760	910
752	2764	906
753	2768	903
754	2771	899
755	2776	896
756	2780	892
757	2783	888
758	2788	885
759	2790	881
760	2795	878
761	2800	874
762	2804	871
763	2809	867
764	2814	864
765	2818	860
766	2822	857
767	2826	853
768	2830	850
769	2835	847
770	2839	843
771	2843	839
772	2848	836
773	2851	832
774	2856	829
775	2860	825
776	2863	821
777	2875	820
778	2879	817
779	2883	813
780	2887	809
781	2891	806
782	2895	802
783	2900	799
784	2909	796
785	2915	793
786	2921	790
787	2929	788
788	2937	785
789	2943	782
790	2956	781
791	2961	777
792	2968	774
793	2974	771
794	2978	767
795	2982	764
796	2986	760
797	2991	757
798	2996	753
799	3001	750
800	3005	746
801	3011	743
802	3019	740
803	3023	737
804	3029	733
805	3032	729
806	3037	726
807	3042	722
808	3045	719
809	3049	715
810	3055	712
811	3059	708
812	3064	704
813	3069	701
814	3072	697
815	3077	694
816	3084	690
817	3089	687
818	3093	683
819	3097	679
820	3102	676
821	3106	672
822	3110	669
823	3114	665
824	3118	661
825	3124	658
826	3129	654
827	3132	650
828	3136	646
829	3139	643
830	3144	639
831	3149	635
832	3153	632
833	3158	628
834	3163	625
835	3167	621
836	3172	617
837	3178	614
838	3184	611
839	3190	607
840	3195	604
841	3199	600
842	3204	596
843	3209	593
844	3212	589
845	3217	585
846	3222	582
847	3225	578
848	3229	574
849	3233	570
850	3237	566
851	3241	563
852	3245	559
853	3250	555
854	3253	551
855	3256	547
856	3259	543
857	3263	540
858	3268	536
859	3271	532
860	3275	528
861	3279	524
862	3283	521
863	3286	517
864	3289	513
865	3292	509
866	3296	505
867	3299	501
868	3302	497
869	3305	493
870	3309	490
871	3313	486
872	3316	482
873	3319	478
874	3324	474
875	3328	471
876	3331	467
877	3336	463
878	3341	459
879	3344	456
880	3350	452
881	3354	448
882	3358	445
883	3363	441
884	3367	437
885	3372	433
886	3377	430
887	3382	426
888	3385	422
889	3397	419
890	3401	416
891	3405	412
892	3410	408
893	3415	404
894	3418	401
895	3423	397
896	3426	393
897	3430	389
898	3435	385
899	3438	382
900	3444	378
901	3448	374
902	3452	370
903	3457	367
904	3462	363
905	3466	359
906	3471	355
907	3476	352
908	3479	348
909	3483	344
910	3488	340
911	3492	336
912	3496	333
913	3499	329
914	3503	325
915	3508	321
916	3511	317
917	3517	314
918	3521	310
919	3524	306
920	3529	302
921	3532	298
922	3536	295
923	3540	291
924	3543	287
925	3546	283
926	3550	279
927	3553	275
928	3556	271
929	3560	268
930	3564	264
931	3567	260
932	3571	256
933	3575	252
934	3578	248
935	3581	244
936	3584	241
937	3588	237
938	3591	233
939	3595	229
940	3598	225
941	3602	221
942	3605	217
943	3608	214
944	3611	210
945	3615	206
946	3618	202
947	3622	198
948	3626	194
949	3629	191
950	3634	187
951	3637	183
952	3642	179
953	3647	175
954	3650	172
955	3655	168
956	3659	164
957	3663	160
958	3668	156
959	3671	152
960	3675	149
961	3680	145
962	3683	141
963	3688	137
964	3691	133
965	3695	130
966	3700	126
967	3714	122
968	3717	118
969	3722	115
970	3725	111
971	3729	107
972	3733	103
973	3737	99
974	3742	95
975	3746	92
976	3750	88
977	3754	84
978	3757	80
979	3763	76
980	3767	72
981	3770	69
982	3775	65
983	3779	61
984	3783	57
985	3787	53
986	3791	49
987	3795	46
988	3800	42
989	3803	38
990	3807	34
991	3808	30
992	3811	26
993	3815	23
994	3818	19
995	3822	15
996	3826	11
997	3829	7
998	3833	3
999	3836	0
