iter	RMSE
0	8.466400449
1	8.190984613
2	7.924042479
3	7.672655956
4	7.450079235
5	7.219467352
6	6.995709048
7	6.782479968
8	6.579542392
9	6.385209333
10	6.196881334
11	6.012593675
12	5.839781277
13	5.671109109
14	5.504136904
15	5.34686062
16	5.194657053
17	5.054747926
18	4.928432046
19	4.803031841
20	4.681128299
21	4.584513179
22	4.46656477
23	4.366004359
24	4.269229349
25	4.172643894
26	4.077003599
27	3.988544245
28	3.90775464
29	3.831831985
30	3.75150453
31	3.680234772
32	3.616983776
33	3.551569809
34	3.489697945
35	3.432119258
36	3.37196874
37	3.32033087
38	3.269554319
39	3.219692462
40	3.167981653
41	3.121419653
42	3.075506586
43	3.031579405
44	2.991747506
45	2.96023646
46	2.922941647
47	2.885405874
48	2.854560743
49	2.8244232
50	2.794096447
51	2.760873081
52	2.732218005
53	2.706886529
54	2.674493017
55	2.649553047
56	2.622295685
57	2.600943672
58	2.569857184
59	2.551651386
60	2.529687993
61	2.509693319
62	2.490993808
63	2.47328415
64	2.456222499
65	2.437602859
66	2.424622167
67	2.410722969
68	2.397810313
69	2.386144426
70	2.369898534
71	2.356661089
72	2.339556478
73	2.326629403
74	2.315798663
75	2.303582843
76	2.292566361
77	2.277582073
78	2.265047286
79	2.255903675
80	2.24378603
81	2.229963782
82	2.221245188
83	2.210212903
84	2.198473954
85	2.190080341
86	2.183164886
87	2.172513679
88	2.16422603
89	2.156348921
90	2.148052879
91	2.137789182
92	2.129854414
93	2.120837199
94	2.113413099
95	2.107359666
96	2.100426575
97	2.095509202
98	2.090388059
99	2.084320745
100	2.077465618
101	2.071046419
102	2.065319738
103	2.059892273
104	2.055739512
105	2.051819274
106	2.047374278
107	2.04233379
108	2.035700184
109	2.030085777
110	2.025500134
111	2.020909886
112	2.016147871
113	2.010824976
114	2.006829902
115	2.003602847
116	1.999799218
117	1.992955698
118	1.988088343
119	1.983174366
120	1.978083577
121	1.974992712
122	1.969646734
123	1.96434146
124	1.958711045
125	1.952915163
126	1.947859515
127	1.944646988
128	1.941435129
129	1.938549402
130	1.933950123
131	1.929765046
132	1.925623968
133	1.923092399
134	1.91847862
135	1.91621737
136	1.90980791
137	1.904419776
138	1.901691895
139	1.89733352
140	1.891007487
141	1.888885101
142	1.885974048
143	1.885096651
144	1.880201791
145	1.874649898
146	1.870544261
147	1.866109837
148	1.863340593
149	1.859304573
150	1.8578909
151	1.854547422
152	1.851069271
153	1.847926095
154	1.843719661
155	1.839562302
156	1.837216526
157	1.834505275
158	1.830820614
159	1.828329169
160	1.82344171
161	1.820285233
162	1.816429226
163	1.813519053
164	1.811023291
165	1.808079579
166	1.805582017
167	1.802508216
168	1.799533851
169	1.796581822
170	1.791187853
171	1.787980165
172	1.78510428
173	1.781005003
174	1.77816955
175	1.77428503
176	1.769869817
177	1.765571938
178	1.761748088
179	1.756337478
180	1.753550084
181	1.749824771
182	1.747314405
183	1.743512998
184	1.74072335
185	1.738208936
186	1.734366091
187	1.730407192
188	1.726180674
189	1.723359443
190	1.721169538
191	1.715574649
192	1.711987845
193	1.709114764
194	1.706224735
195	1.701690682
196	1.698642364
197	1.694972027
198	1.692067785
199	1.688030559
200	1.683784838
201	1.681741171
202	1.679234327
203	1.67623809
204	1.673743361
205	1.672343161
206	1.670162025
207	1.668453778
208	1.66695718
209	1.66104719
210	1.657167819
211	1.653764592
212	1.651097956
213	1.648676012
214	1.645032217
215	1.641397885
216	1.639068128
217	1.63706549
218	1.633324329
219	1.632407151
220	1.630696328
221	1.62942402
222	1.627266656
223	1.625622524
224	1.622746171
225	1.618872683
226	1.618385309
227	1.615936963
228	1.6134398
229	1.609157302
230	1.606728137
231	1.604177594
232	1.602088277
233	1.598552812
234	1.59626061
235	1.593179729
236	1.590370053
237	1.58671801
238	1.584674275
239	1.581435209
240	1.579442293
241	1.576043945
242	1.573440773
243	1.571621433
244	1.565478975
245	1.562502187
246	1.560639577
247	1.556135858
248	1.552862067
249	1.55058341
250	1.549447721
251	1.545936157
252	1.543311562
253	1.540577304
254	1.536631299
255	1.535064356
256	1.532993561
257	1.529614706
258	1.526897076
259	1.524091281
260	1.522102209
261	1.520136598
262	1.51723488
263	1.516532421
264	1.516094089
265	1.513697705
266	1.511645726
267	1.509065986
268	1.506522541
269	1.502601048
270	1.501116779
271	1.497538029
272	1.496319516
273	1.494612664
274	1.492786529
275	1.490950334
276	1.488113669
277	1.485698067
278	1.482321021
279	1.479603176
280	1.477273584
281	1.474277416
282	1.473098095
283	1.4704359
284	1.468720693
285	1.466980209
286	1.465424191
287	1.462980185
288	1.459768011
289	1.458343501
290	1.457106174
291	1.455320488
292	1.453505318
293	1.45238433
294	1.450044591
295	1.447456952
296	1.446128835
297	1.444147423
298	1.44087591
299	1.437963081
300	1.436818292
301	1.435346134
302	1.432818443
303	1.431941375
304	1.430940084
305	1.429101787
306	1.427655799
307	1.427245111
308	1.425366556
309	1.421958657
310	1.420839794
311	1.419155361
312	1.418507907
313	1.417511784
314	1.416089492
315	1.412705087
316	1.411888445
317	1.409182995
318	1.408324286
319	1.40663424
320	1.403554399
321	1.40085399
322	1.39917477
323	1.398054743
324	1.39522027
325	1.39252238
326	1.391208486
327	1.389567915
328	1.388856608
329	1.386211986
330	1.383480266
331	1.380731945
332	1.37908552
333	1.376293183
334	1.375560914
335	1.373426889
336	1.37137546
337	1.369155194
338	1.368312511
339	1.366425277
340	1.364370118
341	1.362774605
342	1.361667282
343	1.3608823
344	1.359471997
345	1.357077759
346	1.355336185
347	1.35385252
348	1.351140332
349	1.349885097
350	1.347367086
351	1.345597247
352	1.343195808
353	1.341975382
354	1.339548419
355	1.337795415
356	1.336243501
357	1.334858771
358	1.331821365
359	1.329269445
360	1.32611103
361	1.325295723
362	1.322370232
363	1.321304453
364	1.317692521
365	1.316155257
366	1.314436642
367	1.312007322
368	1.310710129
369	1.307708056
370	1.306486902
371	1.305214883
372	1.303824766
373	1.30158028
374	1.299672115
375	1.298653024
376	1.297160611
377	1.29659327
378	1.295800875
379	1.293981007
380	1.292609403
381	1.291632636
382	1.290542697
383	1.289347868
384	1.288826832
385	1.288547372
386	1.286714753
387	1.28442204
388	1.28362405
389	1.281228723
390	1.279105013
391	1.275949008
392	1.275191766
393	1.271687267
394	1.271457379
395	1.268996208
396	1.265884489
397	1.263731387
398	1.263376727
399	1.2605859
400	1.260265853
401	1.259191049
402	1.256391769
403	1.254189931
404	1.252553303
405	1.252278163
406	1.25140826
407	1.249990189
408	1.247965245
409	1.245603286
410	1.243964275
411	1.243370944
412	1.24244024
413	1.242265375
414	1.240585425
415	1.238470817
416	1.237845315
417	1.236714503
418	1.235344772
419	1.234248034
420	1.232591411
421	1.231204721
422	1.228918077
423	1.227645654
424	1.226434643
425	1.226174068
426	1.225280204
427	1.223539404
428	1.220993552
429	1.219038008
430	1.217556849
431	1.216376552
432	1.21473759
433	1.214184121
434	1.213086843
435	1.211653647
436	1.210445141
437	1.210006752
438	1.209355335
439	1.20635073
440	1.205778205
441	1.204332302
442	1.202314789
443	1.201423121
444	1.200885307
445	1.198427123
446	1.196128266
447	1.195334269
448	1.192125147
449	1.191068036
450	1.188386838
451	1.186746698
452	1.186563047
453	1.184827868
454	1.183823473
455	1.182830775
456	1.182495672
457	1.182317111
458	1.181271518
459	1.179802048
460	1.177973695
461	1.176722413
462	1.176483691
463	1.175414588
464	1.174984074
465	1.173590181
466	1.172458171
467	1.171517588
468	1.171099689
469	1.170961553
470	1.169444465
471	1.168699054
472	1.16688759
473	1.164341383
474	1.163764886
475	1.16235135
476	1.161810226
477	1.159617438
478	1.158537767
479	1.157394292
480	1.156075309
481	1.153497509
482	1.151726148
483	1.14989934
484	1.149078574
485	1.147763547
486	1.145430536
487	1.144020138
488	1.141133762
489	1.139299335
490	1.137927863
491	1.137486032
492	1.136196707
493	1.135235046
494	1.134380947
495	1.132373118
496	1.131013603
497	1.13069088
498	1.128047241
499	1.12590343
500	1.124370332
501	1.122252754
502	1.122074898
503	1.120900393
504	1.119354502
505	1.116819515
506	1.11602086
507	1.115187064
508	1.114085117
509	1.112731432
510	1.11116333
511	1.108782361
512	1.108421664
513	1.106265638
514	1.105022105
